Wood,Oven,Phase,IO_02L_Avg,UO_02_Avg,AO_02_Avg,IO_04R_Avg,FB_01_Avg,IO_01T_Avg,SA_01_Avg,P_01_Avg,AO_01_Avg,Roofline,Chimney,T_eff_Pot_1(%),T_eff_Pot_2(%)
M,O,High,236,305.8,205.9,173.3,773.1,248.7,332.1,420.8,442.5,79.45,144.6,10.774385824094491,6.105485300320195
M,O,High,237,306.7,207.7,174,775.4,249.3,333.5,421.3,445.7,79.61,144.6,10.271716637912938,8.649866642453006
M,O,High,238,307.1,209.2,174.8,777,249.9,334.5,420.4,445.1,79.77,144.5,15.00902653784335,4.159127835787933
M,O,High,238.9,307.3,210.5,175.5,778.3,250.5,335.2,418.4,440.9,79.92,144.3,23.769839556726645,3.9918814522746757
M,O,High,239.9,307.4,211.8,176.3,779.4,251,335.8,416.7,435.1,80,144,6.918113972276084,8.010447757372427
M,O,High,240.8,307.6,213.1,177,780.6,251.4,336.6,415.6,429.8,80.1,143.8,9.680365125217648,6.757990747793456
M,O,High,241.7,307.6,214.1,177.6,782,251.8,337.1,414.2,426.9,80.3,143.6,12.642499497740689,4.214166499246852
M,O,High,242.5,307.5,214.9,178.3,783.4,252.1,337.3,413.6,423.3,80.4,143.5,15.621417854569833,6.983692687925372
M,O,High,243.4,307.5,215.6,179,784.9,252.5,337.5,413.6,420.5,80.5,143.5,10.874624667160472,7.556942565314863
M,O,High,244.2,307.5,216.3,179.6,786.4,252.7,337.6,413.5,418.4,80.6,143.4,13.67701270781102,4.250963409184544
M,O,High,245,307.5,216.8,180.2,787.6,253,337.5,413.6,417,80.7,143.4,10.747685822732263,6.300367551256783
M,O,High,245.7,307.5,217.1,180.8,788.7,253.2,337.3,414.1,416.7,80.8,143.4,13.931561975633988,4.829608151553079
M,O,High,246.4,307.4,217.4,181.4,789.9,253.4,337,414.8,416.4,80.9,143.3,16.94143015056865,8.191460732143137
M,O,High,247.1,307.2,217.7,182,791,253.5,336.4,414.9,416.6,81,143.3,7.461949645476295,5.409913492970317
M,O,High,247.8,306.7,217.7,182.6,791.8,253.7,335.7,414.6,415.5,81,143.3,10.465817007290784,7.101804397804479
M,O,High,248.5,306.2,217.5,183.1,792.4,253.8,334.7,413,414,81.1,143.1,12.167371645525593,7.67480365333148
M,O,High,249.1,305.6,217.2,183.7,792.9,253.9,333.7,412.4,412.1,81.2,142.9,17.995158922669788,4.1238905864451345
M,O,High,249.7,305,216.8,184.2,793.6,254,332.7,411.6,410.7,81.3,142.8,9.946314679196423,3.0026610352291714
M,O,High,250.2,304.3,216.4,184.7,794.3,254.1,331.6,409.4,408.7,81.4,142.7,6.574400087025316,3.1932800422694587
M,O,High,250.8,303.6,216.1,185.1,794.7,254.2,330.5,408.7,406.6,81.4,142.6,11.466202249442462,9.022585376610412
M,O,High,251.3,303.1,215.9,185.6,795.2,254.2,329.3,410.8,404.4,81.4,142.6,15.42077628606427,5.8298056691219
M,O,High,251.8,302.7,215.9,186,795.2,254.3,328,413.8,402.1,81.4,142.6,11.098134505398631,4.702599366694364
M,O,High,252.3,302.2,215.9,186.4,794.9,254.3,326.8,416.7,399.8,81.3,142.6,6.771923333268994,3.385961666634497
M,O,High,252.7,301.6,215.7,186.8,794.6,254.4,325.6,418,397.3,81.3,142.6,9.027599000717954,6.394549292175094
M,O,High,253.2,301.2,215.6,187.2,794.4,254.4,324.5,418.1,394.3,81.3,142.5,14.10030736401583,5.264114749232597
M,O,High,253.6,300.8,215.5,187.6,794.3,254.4,323.5,417.2,391,81.3,142.4,14.09241455643353,4.3216737973063575
M,O,High,254,300.2,215.5,188.1,793.8,254.4,323.5,413,385.9,81.3,142.1,7.134961658589227,4.13076727602537
M,O,High,254.3,299.9,215.8,188.5,792.1,254.4,323.8,405.2,382.6,81.4,141.9,9.192261264020244,4.314734879029771
M,O,High,254.6,300.1,216.1,188.9,790,254.3,324,397.1,381.1,81.3,141.9,7.683703872393497,6.184444580219176
M,O,High,254.9,300.2,216.1,189.2,788.1,254.3,324,389.2,380,81.3,141.8,14.226942718473728,5.241505212069353
M,O,High,255.2,300.2,216,189.5,786.3,254.2,323.7,382.8,379.1,81.4,141.8,18.13596592066237,5.796030345778661
M,O,High,255.5,299.6,215.5,189.8,784.2,254.1,323,379.4,379.3,81.4,141.6,7.282385689150137,4.668195954583584
M,O,High,255.7,298.7,214.6,190.1,781.5,254,321.8,375.6,378.4,81.4,141.5,7.2726499026001274,5.780824281553981
M,O,High,255.9,298.1,213.9,190.3,779.5,253.9,320.2,372.1,377.7,81.4,141.4,5.959172531948013,5.586724248701081
M,O,High,256.1,297.6,213.4,190.6,777.8,253.8,318.5,370.1,379.7,81.4,141.4,11.344172505832505,5.765071273455911
M,O,High,256.3,297.4,213.1,190.8,776.2,253.7,317,368.4,382.7,81.3,141.4,15.78622682131448,2.2286437865384823
M,O,High,256.5,297.5,213,191,775.1,253.6,315.8,367.7,386.8,81.4,141.6,1.1128762916272108,2.5967113471300705
M,O,High,256.6,297.7,213.2,191.2,774.6,253.5,314.6,369.7,391.4,81.4,141.8,8.706826940690872,4.260787651827401
M,O,High,256.8,298.2,213.7,191.4,773.8,253.4,313.4,372.1,397.2,81.4,142.1,13.508025028406747,6.1063674785948985
M,O,High,256.9,298.8,214.3,191.6,773.5,253.3,312.5,375,403.4,81.4,142.5,8.87294837149146,5.545592732182065
M,O,High,257,299.9,214.9,191.8,772.6,253.2,312,372.3,415.5,81.5,143.3,10.71206829233329,5.725415811419576
M,O,High,257.2,301.6,215.5,192,770.6,253.1,311.6,366.4,424.9,81.5,144,2.030147112315075,5.905882508552981
M,O,High,257.3,302.9,216,192.2,768.7,253,311.2,361.1,428.4,81.5,144.5,12.727820349064592,3.5047621251047114
M,O,High,257.5,303.9,216.4,192.4,767,253,310.8,357,429,81.5,144.9,10.142101501128137,5.71645720972684
M,O,High,257.7,305.1,216.9,192.6,765.4,253,310.4,352.5,428.9,81.5,145.2,8.11293093753852,0.9219239701747844
M,O,High,257.8,306.5,217.7,192.8,763.9,252.9,310.1,348.6,427.3,81.5,145.4,7.007726387709706,5.716829421552551
M,O,High,258,307.7,218.6,193,762.5,252.9,309.8,345.7,425.7,81.5,145.6,9.040146455519018,6.272754683421357
M,O,High,258.2,308.9,219.5,193.2,761.3,252.9,309.6,343.6,424.9,81.5,145.8,12.000643351594679,4.6156320583056045
M,O,High,258.4,309.9,220.4,193.4,760.1,253,309.4,342.7,425.2,81.5,145.9,10.164823162587677,1.8481496659250682
M,O,High,258.6,309.4,220.2,193.7,756.9,253,309.2,345.5,420.8,81.5,145.5,5.551961854722417,3.8863732983057444
M,O,High,258.9,308.3,220.4,194,752.4,253,310.7,347.3,411,81.5,144.9,3.8929813952196106,6.673682391804782
M,O,High,259,308.2,221.1,194.3,750.9,253,311.7,349.1,415.7,81.5,145.1,10.774220615587184,1.857624244066788
M,O,High,259.2,308.5,221.3,194.5,752,253,312,350.3,424.2,81.5,145.3,10.428088315364208,5.400260020456564
M,O,High,259.4,308.9,221.5,194.7,753.9,253.1,312.1,352,429.7,81.5,145.4,11.017879977964379,7.096261680722826
M,O,High,259.6,309.1,221.8,195,756.1,253.1,312.1,355.4,432.3,81.5,145.5,8.243370254930078,5.620479719270483
M,O,High,259.8,309.2,222,195.2,758.1,253.1,311.9,357.4,431.8,81.5,145.5,5.4530413611697375,4.324825907134467
M,O,High,260,308.9,221.7,195.4,760.2,253.2,311.6,358.1,429.1,81.5,145.4,15.67095612806064,3.3985206060854414
M,O,High,260.2,308.2,221.1,195.6,762.3,253.2,311.1,358.7,425.8,81.5,145.4,7.396929958629943,3.4139676732138096
M,O,High,260.3,307.4,220.3,195.8,764.1,253.2,310.4,359.3,421.4,81.6,145.3,8.005768942157196,0.38122709248373404
M,O,High,260.5,307.2,220,196.8,764.9,253.2,309.4,364,423.7,81.6,145.2,1.149934812162992,-212.35462864609107
M,O,Medium,261.4,310.6,221,199.1,780.9,253.4,305.3,393.9,451.2,81.5,145.6,33.40644022937743,0.2000385642478001
M,O,Medium,261.6,311,220.8,199.3,783,253.5,304.9,400.6,451.8,81.5,145.7,26.639729711060443,7.26538083028922
M,O,Medium,261.8,311.4,220.7,199.5,785,253.6,304.5,403.9,452.5,81.5,146,11.815125269271372,-2.0370905636675007
M,O,Medium,262,311.7,220.7,199.7,786.8,253.6,304.2,404.8,451.4,81.4,146.1,17.691878473634368,4.937268411246844
M,O,Medium,262.2,312,220.7,199.9,788.4,253.7,304,404.6,449.8,81.4,146.2,8.729680409500974,5.819786939667242
M,O,Medium,262.4,312.3,220.7,200.1,790.1,253.8,303.8,403.1,447.1,81.3,146.3,13.656560886851429,9.454542152435685
M,O,Medium,262.6,312.5,220.7,200.2,791.6,253.8,303.6,400.9,444,81.2,146.3,28.471697573210292,7.436637425838464
